日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/07,Python工程師(RD),滙訊科技有限公司,台北市松山區,"60,000",- 與開發團隊協同開發基於 Python 的Web應用程式- 協助功能測試及效能監控- 評估可行性與流程，協助客戶解決系統問題。,台北市松山區,經歷不拘,專科,,837z5,www.104.com.tw/job/837z5?jobsource=jolist_c_relevance
9/06,Python Data Scientist,BigGo_樂方股份有限公司,高雄市鼓山區中華一路828號13樓,待遇面議,"BigGo - Python 資料科學家BigGo是全球超過十二個國家上線的跨境的商品搜尋引擎，是目前台灣, 南美跟東南亞最大的比價服務網站。我們正在為全球市場招募Python 資料科學家我們擁有人類史上數量級最龐大的全球商品資料庫",高雄市鼓山區,經歷不拘,大學,員工45人,7op6q,www.104.com.tw/job/7op6q?jobsource=jolist_c_relevance
9/07,Python工程師(NLP),滙訊科技有限公司,台北市松山區,"60,000",工作內容- 與開發團隊協同開發基於 Python 的 NLP service- 因應業務需求，評估可行性與流程- 協助功能測試與錯誤排除,台北市松山區,經歷不拘,專科,,7n3ls,www.104.com.tw/job/7n3ls?jobsource=jolist_c_relevance
9/05,Data Engineer-Python,CTW株式会社,"台北市信義區信義區No. 45 號, City Hall Rd","1,000",作為數據工程師（Python），您將負責在我們的G123平台上設計和實施強大的數據流程，以確保最佳的時效性、數據品質和改進的用戶體驗。隨著 G123 平台不斷拓展遊戲服務，並在全球範圍內擴大，您將與廣告和運營部門密切合作，直接滿足數據需求。主要職,台北市信義區,經歷不拘,大學,員工215人,7rhzl,www.104.com.tw/job/7rhzl?jobsource=jolist_c_relevance
9/04,Python 工程師,台灣宸運雲端有限公司,台中市西屯區安和路168號6樓之一,"35,000",工作內容：- Python 監控與維運系統開發/DevOps。職務要求： - Python 實務開發經驗。- 熟悉 JSON 、RESTful Web Services。- 具有 Git 版本控制相關知識。- 熟悉 Linux 基本,台中市西屯區,1年以上,學歷不拘,員工70人,6guen,www.104.com.tw/job/6guen?jobsource=jolist_c_relevance
9/07,python工程師,億力資訊股份有限公司,台北市松山區,待遇面議,【應徵條件】1.  熟悉  Node.js、Python 等相關技術(任一技術者)2.  擅長  RDBMS 與 MongoDB、 RESTful API、Scalable 、DB Schema等技術 。3.  具有 Docker經驗尤,台北市松山區,2年以上,專科,員工180人,5z6t9,www.104.com.tw/job/5z6t9?jobsource=jolist_c_relevance
9/05,Python 工程師,加拿大商百德寶企業有限公司在臺辦事處,嘉義市東區興美六路150號4樓之1,"55,000",4.	熟悉Redis .	熟悉 python 自動化測試 ※ 可接受半或全遠端在家工作 ※ ※ 試用期過後依工作能力調整薪資,嘉義市,1年以上,學歷不拘,遠端工作,7tnyu,www.104.com.tw/job/7tnyu?jobsource=jolist_c_relevance
8/31,Python工程師,創昇資訊有限公司,台北市松山區復興南路一段,待遇面議,1.系統核心開發與維護2.針對需求可提出解決方案與技術可行性評估3.開發流程文件撰寫4.協助客戶解決技術問題.其他專案及主管交辦事項,台北市松山區,2年以上,專科,,82dtp,www.104.com.tw/job/82dtp?jobsource=jolist_c_relevance
9/07,Python軟體工程師,奇力速工業股份有限公司,新北市新莊區化成路83巷30號1樓,待遇面議,1. 熟悉Python程式語言2. 擁有通訊技術能力: 如RS232、TCP/IP、UART...3. 具備學習不同通信協定的能力4. 維護及修改公司既有產品. 具備良好之溝通、團隊合作之能力。6. 對新設備新領域開發有興趣者(嵌入式,新北市新莊區,經歷不拘,專科,距捷運幸福站約500公尺,6vayl,www.104.com.tw/job/6vayl?jobsource=jolist_c_relevance
9/04,短期專案 Python  軟體工程師,華威數位財金科技股份有限公司,台北市大安區台北市,待遇面議,- 此專案為期四個月，專案結束依公司安排- 專案駐點開發 Python 軟體工程師 - 金融產業 因應資安問題 軟體開發需在客戶端進行 團隊開發 (駐點)- 工作地點 大安區------(相關技能)------1.資料串接及ETL開,台北市大安區,2年以上,高中,員工100人,83pj0,www.104.com.tw/job/83pj0?jobsource=jolist_c_relevance
