日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
9/04,Python 工程師,台灣宸運雲端有限公司,台中市西屯區安和路168號6樓之一,"35,000",工作內容：- Python 監控與維運系統開發/DevOps。職務要求： - Python 實務開發經驗。- 熟悉 JSON 、RESTful Web Services。- 具有 Git 版本控制相關知識。- 熟悉 Linux 基本,台中市西屯區,1年以上,學歷不拘,員工70人,6guen,www.104.com.tw/job/6guen?jobsource=jolist_c_relevance
9/04,Python 工程師,明潤電腦有限公司,台中市西屯區台灣大道二段633號,待遇面議,1. 熟悉 Python 程式語言、有物件導向開發概念2. 熟悉爬蟲套件，例如 Selenium、BeautifulSoup、Scrapy 等3. 熟悉 Git版本管理4. 熟练並掌握常用的設計模式. 熟练常用的異步編程手段,台中市西屯區,3年以上,專科,,7uskr,www.104.com.tw/job/7uskr?jobsource=jolist_c_relevance
8/14,Python影像辨識工程師,黑鏡科技股份有限公司,台中市西屯區福科路620巷18弄11號,待遇面議,1. 負責軟體之分析、設計以及程式撰寫。2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。3. 進行軟體之測試與修改。4. 熟悉Python或C#相關套件。。. 具有OpenCV或Halcon或其他OpenSoruce等等之影像分,台中市西屯區,1年以上,專科,,7ydgy,www.104.com.tw/job/7ydgy?jobsource=jolist_c_relevance
9/05,Python後端工程師(台中總部),誠雲科技股份有限公司,台中市西屯區台灣大道四段925號16F-3,"30,000",- 熟悉 Python- 熟悉 Web 程式開發- 具Linux主機維護經驗佳- 有api server開發經驗佳其它條件 1. 網路應用程式開發有極大熱忱2. 思路清晰，有良好溝通協調能力3. 積極、認真與負責，喜好,台中市西屯區,經歷不拘,專科,員工30人,4cifp,www.104.com.tw/job/4cifp?jobsource=jolist_c_relevance
9/06,後端工程師 Python Engineer,全富數位有限公司,台中市北區崇德路一段631號11樓之1,"50,000",歡迎有一定程度 Python基礎，並具 Web 研發相關知識， 願意對技術持續精進的熱血工程師投遞。 職責要求： 1. 從事 Python Web 相關工作。 2. 熟悉網路爬蟲技術3. 持續優化產品的效能和質量4.,台中市北區,經歷不拘,學歷不拘,員工100人,6izvs,www.104.com.tw/job/6izvs?jobsource=jolist_c_relevance
9/06,Data Engineer / 資料工程師(Python),馬來西亞商極限電腦科技有限公司台灣分公司,台中市西屯區文心路二段201號,待遇面議,分析、行銷分析、產品分析...，產生建議報告、產品分析報表等  - 使用Python，以Flask/Django等微服務框架，開發資料分析平台【加分特質】  - 良好的溝通能力  - 資訊管理學系/資訊工程學系/資訊與設計系或資訊相關科系,台中市西屯區,1年以上,專科,員工37人,82m8t,www.104.com.tw/job/82m8t?jobsource=jolist_c_relevance
7/25,Back-end Developer 後端工程師 | Python Flask&Django,脈動心聯股份有限公司,台中市中區綠川西街135號12F,"36,000",【工作內容】1、熟練掌握 Python，並具備良好的編碼風格及編碼能力2、熟悉Flask、Django等框架，具有開發設計能力3、後端系統開發及維運4、與前端工程師配合，討論開發API，完成產品開發、撰寫API設計文件、第三方API介,台中市中區,1年以上,專科,員工15人,7xw07,www.104.com.tw/job/7xw07?jobsource=jolist_c_relevance
4/21,東海大學人工智慧中心誠徵AI工程師,東海大學,台中市西屯區台灣大道四段1727號(東海大學)人工智慧中心,"40,000",解與實作能力-薪資依實務經驗與年資可面議技術要求1.熟悉Python2.實際參與AI相關專案我們是軟體開發團隊，產品持續改善與功能精進是團隊目標，需優秀的您加入我們。,台中市西屯區,經歷不拘,大學,,7gqao,www.104.com.tw/job/7gqao?jobsource=jolist_c_relevance
8/26,Python軟體工程師,巨兆數位有限公司,台中市西屯區市政路500號,"35,000",需要你能 :1. 使用 Sanic、Celery、AsyncIO 等框架開發2. 具備 Python 開發及解決問題的能力3. 熟悉 Git，了解 Git Flow3. 有責任感、邏輯分析能力. 良好的團隊合作及關係6. 熱愛技術研,台中市西屯區,2年以上,高中,員工50人,7t50n,www.104.com.tw/job/7t50n?jobsource=jolist_c_relevance
9/06,後端工程師 Junior Backend Engineer(Python),寰享科技有限公司,台中市西屯區(台中市、台北市依照公司規定分派),待遇面議,解答能力，能夠快速找到問題的根本原因並提供解決方案。基本條件：1. Python編程技能： 擁有3年以上的Python開發經驗，能夠進行高效、清晰的代碼編寫。2. 經驗豐富的Web開發： 具備Flask和Django開發經驗，能夠使用這兩個,台中市西屯區,3年以上,大學,,7rr1q,www.104.com.tw/job/7rr1q?jobsource=jolist_c_relevance
