日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
廣告,專案工程師,國立成功大學_數位生活科技研發中心,台南市東區國立成功大學資訊工程系數位生活科技研發中心,"33,000",能與團隊良好溝通熟悉C語言程式開發，能靈活運用指標熟悉網頁撰寫，PHP、MySQL、Java script、Python具備以框架開發PHP的經驗尤佳熟悉使用Git版本控制[薪資待遇] 依國立成功大學專案工作人員薪點支給待遇標準聘任 http://pers.ncku.edu.tw/var/file/29/1029/img/3068/reg18-01.pdf,台南市東區,經歷不拘,大學,遠端工作,5c7jc,www.104.com.tw/job/5c7jc?jobsource=hotjob_chr
9/06,Python Data Scientist,BigGo_樂方股份有限公司,高雄市鼓山區中華一路828號13樓,待遇面議,"BigGo - Python 資料科學家BigGo是全球超過十二個國家上線的跨境的商品搜尋引擎，是目前台灣, 南美跟東南亞最大的比價服務網站。我們正在為全球市場招募Python 資料科學家我們擁有人類史上數量級最龐大的全球商品資料庫",高雄市鼓山區,經歷不拘,大學,員工45人,7op6q,www.104.com.tw/job/7op6q?jobsource=jolist_c_relevance
9/04,Python 工程師,台灣宸運雲端有限公司,台中市西屯區安和路168號6樓之一,"35,000",工作內容：- Python 監控與維運系統開發/DevOps。職務要求： - Python 實務開發經驗。- 熟悉 JSON 、RESTful Web Services。- 具有 Git 版本控制相關知識。- 熟悉 Linux 基本,台中市西屯區,1年以上,學歷不拘,員工70人,6guen,www.104.com.tw/job/6guen?jobsource=jolist_c_relevance
9/04,Python研發工程師,聖璟科技有限公司,高雄市新興區中正三路,待遇面議,我們正在尋找一位熟練的Python研發人員，將負責開發高效、可靠的系統，以收集和分析網絡數據。以下是我們對理想候選人的期望條件：1. 具備python開發技能2. 熟悉Python 和 Selenium、BeautifulSoup、,高雄市新興區,2年以上,專科,員工10人,81niw,www.104.com.tw/job/81niw?jobsource=jolist_c_relevance
9/04,Python 工程師,明潤電腦有限公司,台中市西屯區台灣大道二段633號,待遇面議,1. 熟悉 Python 程式語言、有物件導向開發概念2. 熟悉爬蟲套件，例如 Selenium、BeautifulSoup、Scrapy 等3. 熟悉 Git版本管理4. 熟练並掌握常用的設計模式. 熟练常用的異步編程手段,台中市西屯區,3年以上,專科,,7uskr,www.104.com.tw/job/7uskr?jobsource=jolist_c_relevance
8/14,Python影像辨識工程師,黑鏡科技股份有限公司,台中市西屯區福科路620巷18弄11號,待遇面議,1. 負責軟體之分析、設計以及程式撰寫。2. 規劃執行軟體架構及模組之設計，並控管軟體設計進度。3. 進行軟體之測試與修改。4. 熟悉Python或C#相關套件。。. 具有OpenCV或Halcon或其他OpenSoruce等等之影像分,台中市西屯區,1年以上,專科,,7ydgy,www.104.com.tw/job/7ydgy?jobsource=jolist_c_relevance
9/05,Python後端工程師(台中總部),誠雲科技股份有限公司,台中市西屯區台灣大道四段925號16F-3,"30,000",- 熟悉 Python- 熟悉 Web 程式開發- 具Linux主機維護經驗佳- 有api server開發經驗佳其它條件 1. 網路應用程式開發有極大熱忱2. 思路清晰，有良好溝通協調能力3. 積極、認真與負責，喜好,台中市西屯區,經歷不拘,專科,員工30人,4cifp,www.104.com.tw/job/4cifp?jobsource=jolist_c_relevance
9/06,Python工程師,BigGo_樂方股份有限公司,高雄市鼓山區中華一路828號13樓,"35,000",BigGo - Python 程式設計師 高雄 / Work From HomeBigGo是全球第一間跨境的商品搜尋引擎，是台灣跟東南亞最大的比價服務網站。我們正在為全球市場招募Python 工程師。BigGo 用了數十種不同的程式語言再各,高雄市鼓山區,經歷不拘,大學,員工45人,63ffy,www.104.com.tw/job/63ffy?jobsource=jolist_c_relevance
8/28,Python程式設計工程師（學期實習）,宥倍實業股份有限公司,高雄市橋頭區新莊路保金巷11號,待遇面議,我們是一群活潑年輕的開發團隊，具備工業自動化系統開發與數據分析的經驗，主要客戶群是日本企業與臺灣的上市櫃公司，如您具備以下特質與專長，歡迎您來與我們共同創造團隊價值：【實習職務】1. 對『Python 程式及SQL』有強烈興趣及意願者。2,高雄市橋頭區,1年以上,大學,員工60人,82boo,www.104.com.tw/job/82boo?jobsource=jolist_c_relevance
9/01,Python 後端工程師(全遠端工作/週休2.5日),環球誠信有限公司,高雄市鼓山區明華路315號13樓之1,"730,000",1. 負責平台後端開發、維護及優化。2. 負責平台與第三方服務之串接。3. 熟悉RESTful API使用。4. 具備Python使用經驗。. 具備MySQL使用經驗。6. 具備Git/Gitflow操作，包含branch、,高雄市鼓山區,5年以上,大學,員工70人,7sul0,www.104.com.tw/job/7sul0?jobsource=jolist_c_relevance
9/06,後端工程師 Python Engineer,全富數位有限公司,台中市北區崇德路一段631號11樓之1,"50,000",歡迎有一定程度 Python基礎，並具 Web 研發相關知識， 願意對技術持續精進的熱血工程師投遞。 職責要求： 1. 從事 Python Web 相關工作。 2. 熟悉網路爬蟲技術3. 持續優化產品的效能和質量4.,台中市北區,經歷不拘,學歷不拘,員工100人,6izvs,www.104.com.tw/job/6izvs?jobsource=jolist_c_relevance
9/02,【研究發展】Web後端工程師 Back-End Engineer（Python）,玩構網路科技有限公司,高雄市楠梓區,"42,000",官網 https://www.genape.ai/應用程式 http://app.genape.ai/【工作內容】1. 以Python 技術為主的 Web 服務的技術選型、架構設計2. 開發產品後台及 API3. 負責後端 API 的設,高雄市楠梓區,經歷不拘,專科,員工12人,81gfm,www.104.com.tw/job/81gfm?jobsource=jolist_c_relevance
